,Eigen-Patient
CREB3L4,1016648.8342999705
CDCA8,-45069.44053863109
UBE2C,3304.091561719446
PSRC1,12138.145650114779
EZH2,6284.270303236437
ZNF608,-28704.808940264917
TSTD1,355373.5043885828
C7orf31,-33465.81621334962
CDKN3,13835.429132251329
SLC25A22,-12773.459747925002
ZNF391,-19366.46441610605
C1orf112,32075.98699687627
C1orf233,53805.69044185952
ARHGAP11A,70546.22715628435
RMI1,107723.25714537242
HELLS,69069.75086968207
PLAUR,-577463.2873012678
HMGB3,329023.9770170226
PHACTR2,-294307.3534909907
PYGL,177931.0973214233
SEPHS2,744381.1114765308
SPDEF,1463779.6858755853
ZDHHC2,-5804.300010833452
KIF18A,18421.676599916853
PCDHGA9,-27002.288793364747
STXBP2,419689.8567372406
KIF18B,42219.84882561592
RRM2,72696.27968773214
KPNA2,249659.34654907833
MFSD3,178147.89693533655
KIF15,18355.27452423744
CBLC,62211.12697846653
C9orf142,-58598.53080908108
ASPM,17031.828808214836
CCNA2,-34523.03683141011
SEMA3F,1056437.7760889048
PRRG1,-92719.9081899458
ARHGEF37,122820.95855182208
KNSTRN,49991.21114033621
DBNDD1,144185.7320666384
SACS,-211333.1287379504
HSD17B7,77757.71464763107
TDRKH,10419.715405212548
TMEM55A,538.6860149285804
FYN,-596419.6664253143
NUF2,56761.07533777511
SGOL1,9308.572511786066
